GroupId,GroupName,Type,IpProtocol,FromPort,ToPort,IpRanges,Ipv6Ranges,PrefixListIds,UserIdGroupPairs
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,4442,4442,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,22,22,121.45.145.179/32,,,
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,4444,4444,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,5555,5555,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,5900,5900,121.45.145.179/32,,,
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,3306,3306,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,4443,4443,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,445,445,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,443,443,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,3389,3389,121.45.145.179/32,,,
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,icmp,-1,-1,0.0.0.0/0,,,
sg-0afd06678a96af3e2,launch-wizard-1,Inbound/Ingress,tcp,8081,8081,203.41.99.103/32,,,
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,4442,4442,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,80,80,0.0.0.0/0,,,
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,80,80,,::/0,,
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,4444,4444,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,5555,5555,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,3306,3306,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,4443,4443,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,445,445,,,,sg-0afd06678a96af3e2
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,443,443,0.0.0.0/0,,,
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,443,443,,::/0,,
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,icmp,-1,-1,0.0.0.0/0,,,
sg-0afd06678a96af3e2,launch-wizard-1,Outbound/Egress,tcp,8081,8081,203.41.99.103/32,,,